MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,1,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,1,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,1,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,1,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,1,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,1,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
